@00003000: $29 <= 00000000
@00003004: $29 <= 00000010
@00003008: $31 <= 00003010
@00003040: $ 1 <= 7fff0000
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003044
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *00000010 <= 00000002
@000041a8: $29 <= 00000014
@000041ac: *00000014 <= 00003044
@000041b0: $29 <= 00000018
@000041b4: *00000018 <= 00000014
@000041b8: $29 <= 0000001c
@000041e8: $26 <= 00003048
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003048
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *0000001c <= 00000002
@000041a8: $29 <= 00000020
@000041ac: *00000020 <= 00003048
@000041b0: $29 <= 00000024
@000041b4: *00000024 <= 00000014
@000041b8: $29 <= 00000028
@000041e8: $26 <= 0000304c
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 0000304c
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *00000028 <= 00000002
@000041a8: $29 <= 0000002c
@000041ac: *0000002c <= 0000304c
@000041b0: $29 <= 00000030
@000041b4: *00000030 <= 00000014
@000041b8: $29 <= 00000034
@000041e8: $26 <= 00003050
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003050
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *00000034 <= 00000002
@000041a8: $29 <= 00000038
@000041ac: *00000038 <= 00003050
@000041b0: $29 <= 0000003c
@000041b4: *0000003c <= 00000014
@000041b8: $29 <= 00000040
@000041e8: $26 <= 00003054
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003054
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *00000040 <= 00000002
@000041a8: $29 <= 00000044
@000041ac: *00000044 <= 00003054
@000041b0: $29 <= 00000048
@000041b4: *00000048 <= 00000014
@000041b8: $29 <= 0000004c
@000041e8: $26 <= 00003058
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003058
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *0000004c <= 00000002
@000041a8: $29 <= 00000050
@000041ac: *00000050 <= 00003058
@000041b0: $29 <= 00000054
@000041b4: *00000054 <= 00000014
@000041b8: $29 <= 00000058
@000041e8: $26 <= 0000305c
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 0000305c
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *00000058 <= 00000002
@000041a8: $29 <= 0000005c
@000041ac: *0000005c <= 0000305c
@000041b0: $29 <= 00000060
@000041b4: *00000060 <= 00000014
@000041b8: $29 <= 00000064
@000041e8: $26 <= 00003060
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003060
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *00000064 <= 00000002
@000041a8: $29 <= 00000068
@000041ac: *00000068 <= 00003060
@000041b0: $29 <= 0000006c
@000041b4: *0000006c <= 00000014
@000041b8: $29 <= 00000070
@000041e8: $26 <= 00003064
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003064
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *00000070 <= 00000002
@000041a8: $29 <= 00000074
@000041ac: *00000074 <= 00003064
@000041b0: $29 <= 00000078
@000041b4: *00000078 <= 00000014
@000041b8: $29 <= 0000007c
@000041e8: $26 <= 00003068
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003068
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *0000007c <= 00000002
@000041a8: $29 <= 00000080
@000041ac: *00000080 <= 00003068
@000041b0: $29 <= 00000084
@000041b4: *00000084 <= 00000014
@000041b8: $29 <= 00000088
@000041e8: $26 <= 0000306c
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 0000306c
@0000419c: $27 <= 00000014
@000041a0: $20 <= 00000002
@000041a4: *00000088 <= 00000002
@000041a8: $29 <= 0000008c
@000041ac: *0000008c <= 0000306c
@000041b0: $29 <= 00000090
@000041b4: *00000090 <= 00000014
@000041b8: $29 <= 00000094
@000041e8: $26 <= 00003070
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
